BRAHMS,SPECIES,GROUP,LATDEC,LONGDEC
19661,Solanum batoides D'Arcy & Rakot.,2,-24.9,46.233333
19662,Solanum batoides D'Arcy & Rakot.,2,-24.9,46.233333
19725,Solanum batoides D'Arcy & Rakot.,2,-24.683333,43.95
19811,Solanum batoides D'Arcy & Rakot.,2,-25.183333,46.1
19838,Solanum batoides D'Arcy & Rakot.,2,-25.183333,46.1
19839,Solanum batoides D'Arcy & Rakot.,2,-24.816667,45.666667
19971,Solanum batoides D'Arcy & Rakot.,2,-24.15,43.7
24893,Solanum batoides D'Arcy & Rakot.,2,-24.066667,43.7
24894,Solanum batoides D'Arcy & Rakot.,2,-25.166667,46.083333
24896,Solanum batoides D'Arcy & Rakot.,2,-25.166667,46.083333
24897,Solanum batoides D'Arcy & Rakot.,2,-25.166667,46.083333
24898,Solanum batoides D'Arcy & Rakot.,2,-25.166667,46.083333
24899,Solanum batoides D'Arcy & Rakot.,2,-24.233333,47.25
24903,Solanum batoides D'Arcy & Rakot.,2,-23.3,43.616667
24904,Solanum batoides D'Arcy & Rakot.,2,-25.033333,44.083333
24952,Solanum batoides D'Arcy & Rakot.,2,-23.583333,43.716667
24953,Solanum batoides D'Arcy & Rakot.,2,-23.583333,43.716667
24957,Solanum batoides D'Arcy & Rakot.,2,-25.166667,46.083333
24958,Solanum batoides D'Arcy & Rakot.,2,-25.166667,46.083333
25521,Solanum batoides D'Arcy & Rakot.,2,-25.166667,46.083333
106265,Solanum batoides D'Arcy & Rakot.,2,-23.3,43.633333
106269,Solanum batoides D'Arcy & Rakot.,2,-20.283333,44.283333
107476,Solanum batoides D'Arcy & Rakot.,2,-24.116667,43.783333
107477,Solanum batoides D'Arcy & Rakot.,2,-24.116667,43.783333
108409,Solanum batoides D'Arcy & Rakot.,2,-24.6,43.916667
108469,Solanum batoides D'Arcy & Rakot.,2,-24.683333,43.95
108631,Solanum batoides D'Arcy & Rakot.,2,-22.416667,44.866667
108671,Solanum batoides D'Arcy & Rakot.,2,-18.716667,47.308333
108681,Solanum batoides D'Arcy & Rakot.,2,-24.05,43.733333
108725,Solanum batoides D'Arcy & Rakot.,2,-20.4,44.433333
108910,Solanum batoides D'Arcy & Rakot.,2,-25.183333,46.1
108911,Solanum batoides D'Arcy & Rakot.,2,-25.166667,46.083333
108912,Solanum batoides D'Arcy & Rakot.,2,-25.166667,46.083333
108913,Solanum batoides D'Arcy & Rakot.,2,-25,45.5
108915,Solanum batoides D'Arcy & Rakot.,2,-24.816667,45.666667
19589,Solanum bumeliifolium Dunal,1,-23.4,43.783333
19701,Solanum bumeliifolium Dunal,1,-23.966667,43.710278
19738,Solanum bumeliifolium Dunal,1,-24.069167,43.704167
19944,Solanum bumeliifolium Dunal,1,-23.883333,43.733333
19958,Solanum bumeliifolium Dunal,1,-24.683333,44.75
24963,Solanum bumeliifolium Dunal,1,-24.066667,43.7
24964,Solanum bumeliifolium Dunal,1,-24.683333,43.95
24966,Solanum bumeliifolium Dunal,1,-25.033333,44.083333
24967,Solanum bumeliifolium Dunal,1,-24.116667,43.783333
24968,Solanum bumeliifolium Dunal,1,-24.116667,43.783333
24969,Solanum bumeliifolium Dunal,1,-24.116667,43.783333
24970,Solanum bumeliifolium Dunal,1,-24.25,44.083333
24987,Solanum bumeliifolium Dunal,1,-24.116667,43.783333
24988,Solanum bumeliifolium Dunal,1,-24.116667,43.783333
24989,Solanum bumeliifolium Dunal,1,-24.116667,43.783333
25513,Solanum bumeliifolium Dunal,1,-24.683333,43.95
25514,Solanum bumeliifolium Dunal,1,-24.116667,43.75
25515,Solanum bumeliifolium Dunal,1,-24.066667,43.7
73861,Solanum bumeliifolium Dunal,1,-24.632778,43.956667
99878,Solanum bumeliifolium Dunal,1,-24.189278,43.770556
99879,Solanum bumeliifolium Dunal,1,-24.969361,44.134556
119487,Solanum bumeliifolium Dunal,1,-24.6,43.916667
19597,Solanum croatii D'Arcy & R.C.Keating,2,-25.566667,45.158333
19669,Solanum croatii D'Arcy & R.C.Keating,2,-24.983333,45.8
19670,Solanum croatii D'Arcy & R.C.Keating,2,-24.9,46.233333
19671,Solanum croatii D'Arcy & R.C.Keating,2,-25.05,46.35
19744,Solanum croatii D'Arcy & R.C.Keating,2,-25.15,46.183333
19801,Solanum croatii D'Arcy & R.C.Keating,2,-25.175,46.088889
19818,Solanum croatii D'Arcy & R.C.Keating,2,-24.991667,46.3
19831,Solanum croatii D'Arcy & R.C.Keating,2,-25.175,46.088889
19832,Solanum croatii D'Arcy & R.C.Keating,2,-25.175,46.088889
19895,Solanum croatii D'Arcy & R.C.Keating,2,-25.133333,46.2
20010,Solanum croatii D'Arcy & R.C.Keating,2,-25.15,46.2
24991,Solanum croatii D'Arcy & R.C.Keating,2,-25.166667,46.083333
25019,Solanum croatii D'Arcy & R.C.Keating,2,-25.166667,46.083333
25020,Solanum croatii D'Arcy & R.C.Keating,2,-25.166667,46.083333
25021,Solanum croatii D'Arcy & R.C.Keating,2,-24.233333,47.25
25022,Solanum croatii D'Arcy & R.C.Keating,2,-25.166667,46.083333
25023,Solanum croatii D'Arcy & R.C.Keating,2,-25.15,46.183333
25040,Solanum croatii D'Arcy & R.C.Keating,2,-25.3,45.483333
25044,Solanum croatii D'Arcy & R.C.Keating,2,-25.166667,46.083333
25047,Solanum croatii D'Arcy & R.C.Keating,2,-24.85,46.45
25048,Solanum croatii D'Arcy & R.C.Keating,2,-25.233333,45.783333
25507,Solanum croatii D'Arcy & R.C.Keating,2,-25.166667,46.083333
25509,Solanum croatii D'Arcy & R.C.Keating,2,-25.166667,46.083333
25557,Solanum croatii D'Arcy & R.C.Keating,2,-25.039722,45.683889
25559,Solanum croatii D'Arcy & R.C.Keating,2,-25.3,45.483333
99881,Solanum croatii D'Arcy & R.C.Keating,2,-25.2805,45.352194
99882,Solanum croatii D'Arcy & R.C.Keating,2,-25.34175,45.446611
25156,Solanum croatii D'Arcy & R.C.Keating,2,-24.95,46.233333
19601,Solanum erythracanthum Dunal,2,-20.733333,47.183333
19673,Solanum erythracanthum Dunal,2,-19.383333,47.416667
19705,Solanum erythracanthum Dunal,2,-25.074444,46.834167
19807,Solanum erythracanthum Dunal,2,-18.866667,47.65
